Finnish (present);Finnish (imperfekti);Finnish (basic) 
(me) pelaamme;(me) pelasimme;(me) pelata
(te) pelaatte;(te) pelasitte;(te) pelata
(he) pelaavat;(he) pelasivat;(he) pelata
(minä) putoan;(minä) putosin;(minä) pudota
(sinä) putoat;(sinä) putosit;(sinä) pudota
(hän) putoaa;(hän) putosi;(hän) pudota
(me) putoamme;(me) putosimme;(me) pudota
(te) putoatte;(te) putositte;(te) pudota
(he) putoavat;(he) putosivat;(he) pudota
(minä) häiritsen;(minä) häiritsin;(minä) häiritä
(sinä) häiritset;(sinä) häiritsit;(sinä) häiritä
(hän) häiritsee;(hän) häiritsi;(hän) häiritä
(me) häiritsemme;(me) häiritsimme;(me) häiritä
(te) häiritsette;(te) häiritsitte;(te) häiritä
(he) häiritsevät;(he) häiritsivät;(he) häiritä
(minä) tarvitsen;(minä) tarvitsin;(minä) tarvita
(sinä) tarvitset;(sinä) tarvitsit;(sinä) tarvita
(hän) tarvitsee;(hän) tarvitsi;(hän) tarvita
(me) tarvitsemme;(me) tarvitsimme;(me) tarvita
(te) tarvitsette;(te) tarvitsitte;(te) tarvita
(he) tarvitsevat;(he) tarvitsivat;(he) tarvita
(minä) valitsen;(minä) valitsin;(minä) valita
(sinä) valitset;(sinä) valitsit;(sinä) valita
(hän) valitsee;(hän) valitsi;(hän) valita
(me) valitsemme;(me) valitsimme;(me) valita
(te) valitsette;(te) valitsitte;(te) valita
(he) valitsevat;(he) valitsivat;(he) valita
(minä) havaitsen;(minä) havaitsin;(minä) havaita
(sinä) havaitset;(sinä) havaitsit;(sinä) havaita
(hän) havaitsee;(hän) havaitsi;(hän) havaita
(me) havaitsemme;(me) havaitsimme;(me) havaita
(te) havaitsette;(te) havaitsitte;(te) havaita
(he) havaitsevat;(he) havaitsivat;(he) havaita
(minä) vanhenen;(minä) vanhenin;(minä) vanheta
(sinä) vanhenet;(sinä) vanhenit;(sinä) vanheta
(hän) vanhenee;(hän) vanheni;(hän) vanheta
(me) vanhenemme;(me) vanhenimme;(me) vanheta
(te) vanhenette;(te) vanhenitte;(te) vanheta
(he) vanhenevat;(he) vanhenivat;(he) vanheta
(minä) pakenen;(minä) pakenin;(minä) paeta
(sinä) pakenet;(sinä) pakenit;(sinä) paeta
(hän) pakenee;(hän) pakeni;(hän) paeta
(me) pakenemme;(me) pakenimme;(me) paeta
(te) pakenette;(te) pakenitte;(te) paeta
(he) pakenevat;(he) pakenivat;(he) paeta
(minä) tarkenen;(minä) tarkenin;(minä) tarjeta
(sinä) tarkenet;(sinä) tarkenit;(sinä) tarjeta
(hän) tarkenee;(hän) tarkeni;(hän) tarjeta
(me) tarkenemme;(me) tarkenimme;(me) tarjeta
(te) tarkenette;(te) tarkenitte;(te) tarjeta
(he) tarkenevat;(he) tarkenivat;(he) tarjeta
(minä) vaikenen;(minä) vaikenin;(minä) vaieta
(sinä) vaikenet;(sinä) vaikenit;(sinä) vaieta
(hän) vaikenee;(hän) vaikeni;(hän) vaieta
(me) vaikenemme;(me) vaikenimme;(me) vaieta
(te) vaikenette;(te) vaikenitte;(te) vaieta
(he) vaikenevat;(he) vaikenivat;(he) vaieta
(minä) käyn;(minä) kävin;(minä) käydä
(sinä) käyt;(sinä) kävit;(sinä) käydä
(hän) käy;(hän) kävi;(hän) käydä
(me) käymme;(me) kävimme;(me) käydä
(te) käytte;(te) kävitte;(te) käydä
(he) käyvät;(he) kävivät;(he) käydä
(minä) näen;(minä) näin;(minä) nähdä
(sinä) näet;(sinä) näit;(sinä) nähdä
(hän) näkee;(hän) näki;(hän) nähdä
(me) näemme;(me) näimme;(me) nähdä
(te) näette;(te) näitte;(te) nähdä
(he) näkevät;(he) näkivät;(he) nähdä
(minä) teen;(minä) tein;(minä) tehdä
(sinä) teet;(sinä) teit;(sinä) tehdä
(hän) tekee;(hän) teki;(hän) tehdä
(me) teemme;(me) teimme;(me) tehdä
(te) teette;(te) teitte;(te) tehdä
(he) tekevät;(he) tekivät;(he) tehdä
(minä) säilön;(minä) säilöin;(minä) säilöä
(hän) puhuu;(hän) puhui;(hän) puhua
(minä) pidän;(minä) pidin;(minä) pitää
(sinä) luet;(sinä) luit;(sinä) lukea
(hän) lukee;(hän) luki;(hän) lukea
(me) jäämme;(me) jäimme;(me) jäädä
(sinä) viet;(sinä) veit;(sinä) viedä
(minä) avaan;(minä) avasin;(minä) avata
(sinä) heräät;(sinä) heräsit;(sinä) herätä
(sinä) tunnet;(sinä) tunsit;(sinä) tuntea
(sinä) huudat;(sinä) huusit;(sinä) huutaa
