Finnish;Finnish (Monikon Paikallissijat)
katu (+sta / stä);kaduista
katu (+lla / llä);kaduilla
katu (+lta / ltä);kaduilta
katu (+lle);kaduille
metsä (+ssa / ssä);metsissä
metsä (+sta / stä);metsistä
metsä (+lla / llä);metsillä
metsä (+lta / ltä);metsiltä
metsä (+lle);metsille
leipä (+ssa / ssä);leivissä
leipä (+sta / stä);leivistä
leipä (+lla / llä);leivillä
leipä (+lta / ltä);leiviltä
leipä (+lle);leiville
ystävä (+ssa / ssä);ystävissä
ystävä (+sta / stä);ystävistä
ystävä (+lla / llä);ystävillä
ystävä (+lta / ltä);ystäviltä
ystävä (+lle);ystäville
isä (+ssa / ssä);isissä
isä (+sta / stä);isistä
isä (+lla / llä);isillä
isä (+lta / ltä);isiltä
isä (+lle);isille
hinta (+ssa / ssä);hinnoissa
hinta (+sta / stä);hinnoista
hinta (+lla / llä);hinnoilla
hinta (+lta / ltä);hinnoilta
hinta (+lle);hinnoille
teema (+ssa / ssä);teemoissa
teema (+sta / stä);teemoista
teema (+lla / llä);teemoilla
teema (+lta / ltä);teemoilta
teema (+lle);teemoille
herra (+ssa / ssä);herroissa
herra (+sta / stä);herroista
herra (+lla / llä);herroilla
herra (+lta / ltä);herroilta
herra (+lle);herroille
liima (+ssa / ssä);liimoissa
liima (+sta / stä);liimoista
liima (+lla / llä);liimoilla
liima (+lta / ltä);liimoilta
liima (+lle);liimoille
kukka (+ssa / ssä);kukissa
kukka (+sta / stä);kukista
kukka (+lla / llä);kukilla
kukka (+lta / ltä);kukilta
kukka (+lle);kukille
loma (+ssa / ssä);lomissa
loma (+sta / stä);lomista
loma (+lla / llä);lomilla
loma (+lta / ltä);lomilta
loma (+lle);lomille
tumma (+ssa / ssä);tummissa
tumma (+sta / stä);tummista
tumma (+lla / llä);tummilla
tumma (+lta / ltä);tummilta
tumma (+lle);tummille
tukka (+ssa / ssä);tukissa
tukka (+sta / stä);tukista
tukka (+lla / llä);tukilla
tukka (+lta / ltä);tukilta
tukka (+lle);tukille
äiti (+ssa / ssä);äideissä
äiti (+sta / stä);äideistä
äiti (+lla / llä);äideillä
äiti (+lta / ltä);äideiltä
äiti (+lle);äideille
posti (+ssa / ssä);posteissa
posti (+sta / stä);posteista
posti (+lla / llä);posteilla
posti (+lta / ltä);posteilta
posti (+lle);posteille
tyyli (+ssa / ssä);tyyleissä
tyyli (+sta / stä);tyyleistä
tyyli (+lla / llä);tyyleillä
tyyli (+lta / ltä);tyyleiltä
tyyli (+lle);tyyleille
tiimi (+ssa / ssä);tiimeissä
tiimi (+sta / stä);tiimeistä
tiimi (+lla / llä);tiimeillä
tiimi (+lta / ltä);tiimeiltä
tiimi (+lle);tiimeille
meri (+ssa / ssä);merissä
meri (+sta / stä);meristä
meri (+lla / llä);merillä
meri (+lta / ltä);meriltä
meri (+lle);merille
sieni (+ssa / ssä);sienissä
sieni (+sta / stä);sienistä
sieni (+lla / llä);sienillä
sieni (+lta / ltä);sieniltä
sieni (+lle);sienille
tuli (+ssa / ssä);tulissa
tuli (+sta / stä);tulista
tuli (+lla / llä);tulilla
tuli (+lta / ltä);tulilta
tuli (+lle);tulille
kieli (+ssa / ssä);kielissä
kieli (+sta / stä);kielistä
kieli (+lla / llä);kielillä
kieli (+lta / ltä);kieliltä
kieli (+lle);kielille
vuosi (+ssa / ssä);vuosissa
vuosi (+sta / stä);vuosista
vuosi (+lla / llä);vuosilla
vuosi (+lta / ltä);vuosilta
vuosi (+lle);vuosille
reisi (+ssa / ssä);reisissä
reisi (+sta / stä);reisistä
reisi (+lla / llä);reisillä
reisi (+lta / ltä);reisiltä
reisi (+lle);reisille
perhe (+ssa / ssä);perheissä
perhe (+sta / stä);perheistä
perhe (+lla / llä);perheillä
perhe (+lta / ltä);perheiltä
perhe (+lle);perheille
kone (+ssa / ssä);koneissa
kone (+sta / stä);koneista
kone (+lla / llä);koneilla
kone (+lta / ltä);koneilta
kone (+lle);koneille
koe (+ssa / ssä);kokeissa
koe (+sta / stä);kokeista
koe (+lla / llä);kokeilla
koe (+lta / ltä);kokeilta
koe (+lle);kokeille
palaute (+ssa / ssä);palautteissa
palaute (+sta / stä);palautteista
palaute (+lla / llä);palautteilla
palaute (+lta / ltä);palautteilta
palaute (+lle);palautteille
hevonen (+ssa / ssä);hevosissa
hevonen (+sta / stä);hevosista
hevonen (+lla / llä);hevosilla
hevonen (+lta / ltä);hevosilta
hevonen (+lle);hevosille
iloinen (+ssa / ssä);iloisissa
iloinen (+sta / stä);iloisista
iloinen (+lla / llä);iloisilla
iloinen (+lta / ltä);iloisilta
iloinen (+lle);iloisille
toinen (+ssa / ssä);toisissa
toinen (+sta / stä);toisista
toinen (+lla / llä);toisilla
toinen (+lta / ltä);toisilta
toinen (+lle);toisille
suomalainen (+ssa / ssä);suomalaisissa
suomalainen (+sta / stä);suomalaisista
suomalainen (+lla / llä);suomalaisilla
suomalainen (+lta / ltä);suomalaisilta
suomalainen (+lle);suomalaisille
sää (+ssa / ssä);säissä
sää (+sta / stä);säistä
sää (+lla / llä);säillä
sää (+lta / ltä);säiltä
sää (+lle);säille
DVD (+ssa / ssä);DVD:issä
DVD (+sta / stä);DVD:istä
DVD (+lla / llä);DVD:illä
DVD (+lta / ltä);DVD:iltä
DVD (+lle);DVD:ille
kuu (+ssa / ssä);kuissa
kuu (+sta / stä);kuista
kuu (+lla / llä);kuilla
kuu (+lta / ltä);kuilta
kuu (+lle);kuille
klisee (+ssa / ssä);kliseissä
klisee (+sta / stä);kliseistä
klisee (+lla / llä);kliseillä
klisee (+lta / ltä);kliseiltä
klisee (+lle);kliseille
vyö (+ssa / ssä);vöissä
vyö (+sta / stä);vöistä
vyö (+lla / llä);vöillä
vyö (+lta / ltä);vöiltä
vyö (+lle);vöille
työ (+ssa / ssä);töissä
työ (+sta / stä);töistä
työ (+lla / llä);töillä
työ (+lta / ltä);töiltä
työ (+lle);töille
suo (+ssa / ssä);soissa
suo (+sta / stä);soista
suo (+lla / llä);soilla
suo (+lta / ltä);soilta
suo (+lle);soille
rikas (+ssa / ssä);rikkaissa
rikas (+sta / stä);rikkaista
rikas (+lla / llä);rikkailla
rikas (+lta / ltä);rikkailta
rikas (+lle);rikkaille
lipas (+ssa / ssä);lippaissa
lipas (+sta / stä);lippaista
lipas (+lla / llä);lippailla
lipas (+lta / ltä);lippailta
lipas (+lle);lippaille
itsekäs (+ssa / ssä);itsekkäissä
itsekäs (+sta / stä);itsekkäistä
itsekäs (+lla / llä);itsekkäillä
itsekäs (+lta / ltä);itsekkäiltä
itsekäs (+lle);itsekkäille
roskis (+ssa / ssä);roskiksissa
roskis (+sta / stä);roskiksista
roskis (+lla / llä);roskiksilla
roskis (+lta / ltä);roskiksilta
roskis (+lle);roskiksille
kirppis (+ssa / ssä);kirppiksissä
kirppis (+sta / stä);kirppiksistä
kirppis (+lla / llä);kirppiksillä
kirppis (+lta / ltä);kirppiksiltä
kirppis (+lle);kirppiksille
fiilis (+ssa / ssä);fiiliksissä
fiilis (+sta / stä);fiiliksistä
fiilis (+lla / llä);fiiliksillä
fiilis (+lta / ltä);fiiliksiltä
fiilis (+lle);fiiliksille
futis (+ssa / ssä);futiksissa
futis (+sta / stä);futiksista
futis (+lla / llä);futiksilla
futis (+lta / ltä);futiksilta
futis (+lle);futiksille
vastaus (+ssa / ssä);vastauksissa
vastaus (+sta / stä);vastauksista
vastaus (+lla / llä);vastauksilla
vastaus (+lta / ltä);vastauksilta
vastaus (+lle);vastauksille
kysymys (+ssa / ssä);kysymyksissä
kysymys (+sta / stä);kysymyksistä
kysymys (+lla / llä);kysymyksillä
kysymys (+lta / ltä);kysymyksiltä
kysymys (+lle);kysymyksille
keskus (+ssa / ssä);keskuksissa
keskus (+sta / stä);keskuksista
keskus (+lla / llä);keskuksilla
keskus (+lta / ltä);keskuksilta
keskus (+lle);keskuksille
tarjous (+ssa / ssä);tarjouksissa
tarjous (+sta / stä);tarjouksista
tarjous (+lla / llä);tarjouksilla
tarjous (+lta / ltä);tarjouksilta
tarjous (+lle);tarjouksille
koditon (+ssa / ssä);kodittomissa
koditon (+sta / stä);kodittomista
koditon (+lla / llä);kodittomilla
koditon (+lta / ltä);kodittomilta
koditon (+lle);kodittomille
rasvaton (+ssa / ssä);rasvattomissa
rasvaton (+sta / stä);rasvattomista
rasvaton (+lla / llä);rasvattomilla
rasvaton (+lta / ltä);rasvattomilta
rasvaton (+lle);rasvattomille
alkoholiton (+ssa / ssä);alkoholittomissa
alkoholiton (+sta / stä);alkoholittomista
alkoholiton (+lla / llä);alkoholittomilla
alkoholiton (+lta / ltä);alkoholittomilta
alkoholiton (+lle);alkoholittomille
kiharrin (+ssa / ssä);kihartimissa
kiharrin (+sta / stä);kihartimista
kiharrin (+lla / llä);kihartimilla
kiharrin (+lta / ltä);kihartimilta
kiharrin (+lle);kihartimille
suoritin (+ssa / ssä);suorittimissa
suoritin (+sta / stä);suorittimista
suoritin (+lla / llä);suorittimilla
suoritin (+lta / ltä);suorittimilta
suoritin (+lle);suorittimille
väsynyt (+ssa / ssä);väsyneissä
väsynyt (+sta / stä);väsyneistä
väsynyt (+lla / llä);väsyneillä
väsynyt (+lta / ltä);väsyneiltä
väsynyt (+lle);väsyneille
ollut (+ssa / ssä);olleissa
ollut (+sta / stä);olleista
ollut (+lla / llä);olleilla
ollut (+lta / ltä);olleilta
ollut (+lle);olleille
mennyt (+ssa / ssä);menneissä
mennyt (+sta / stä);menneistä
mennyt (+lla / llä);menneillä
mennyt (+lta / ltä);menneiltä
mennyt (+lle);menneille
kuningatar (+ssa / ssä);kuningattarissa
kuningatar (+sta / stä);kuningattarista
kuningatar (+lla / llä);kuningattarilla
