Finnish (present);Finnish (imperfekti)
(he) vanhenevat;(he) vanhenivat
(minä) pakenen;(minä) pakenin
(sinä) pakenet;(sinä) pakenit
(hän) pakenee;(hän) pakeni
(me) pakenemme;(me) pakenimme
(te) pakenette;(te) pakenitte
(he) pakenevat;(he) pakenivat
(minä) tarkenen;(minä) tarkenin
(sinä) tarkenet;(sinä) tarkenit
(hän) tarkenee;(hän) tarkeni
(me) tarkenemme;(me) tarkenimme
(te) tarkenette;(te) tarkenitte
(he) tarkenevat;(he) tarkenivat
(minä) vaikenen;(minä) vaikenin
(sinä) vaikenet;(sinä) vaikenit
(hän) vaikenee;(hän) vaikeni
(me) vaikenemme;(me) vaikenimme
(te) vaikenette;(te) vaikenitte
(he) vaikenevat;(he) vaikenivat
(minä) käyn;(minä) kävin
(sinä) käyt;(sinä) kävit
(hän) käy;(hän) kävi
(me) käymme;(me) kävimme
(te) käytte;(te) kävitte
(he) käyvät;(he) kävivät
(minä) näen;(minä) näin
(sinä) näet;(sinä) näit
(hän) näkee;(hän) näki
(me) näemme;(me) näimme
(te) näette;(te) näitte
(he) näkevät;(he) näkivät
(minä) teen;(minä) tein
(sinä) teet;(sinä) teit
(hän) tekee;(hän) teki
(me) teemme;(me) teimme
(te) teette;(te) teitte
(he) tekevät;(he) tekivät
sanon;sanoin
säilön;säilöin
puhuu;puhui
kysyt;kysyit
pidän;pidin
luet;luit
lukee;luki
tarvitset;tarvitsit
paranen;paranin
etsin;etsin
etsii;etsi
uit;uit
ui;ui
ostan;ostin
muistat;muistit
rakastamme;rakastimme
maksat;maksat
annan;annoin
laulan;lauloin
saan;sain
myyt;myit
jäämme;jäimme
syön;söin
juon;join
viet;veit
avaan;avasin
tapaan;tapasin
heräät;heräsit
tiedän;tiesin
lentävät;lensivät
tunnet;tunsit
ymmärrän;ymmärsin
huudat;huusit
