Finnish;English;Finnish (STEM)
(hän) tykkää; He/she/it likes;TYKÄTÄ
(me) tykkäämme; We like;TYKÄTÄ
(te) tykkäätte; You (plural) like;TYKÄTÄ
(he) tykkäävät; They like;TYKÄTÄ

PAKATA; to pack;-
(minä) pakkaan; I pack;PAKATA
(sinä) pakkaat; You (singular) pack;PAKATA
(hän) pakkaa; He/she/it packs;PAKATA
(me) pakkaamme; We pack;PAKATA
(te) pakkaatte; You (plural) pack;PAKATA
(he) pakkaavat; They pack;PAKATA

TAVATA; to meet;-
(minä) tapaan; I meet;TAVATA
(sinä) tapaat; You (singular) meet;TAVATA
(hän) tapaa; He/she/it meets;TAVATA
(me) tapaamme; We meet;TAVATA
(te) tapaatte; You (plural) meet;TAVATA
(he) tapaavat; They meet;TAVATA
